fips,county,state,living_wage_single_adult
01001,Autauga,AL,$11.18
01003,Baldwin,AL,$12.33
01005,Barbour,AL,$10.65
01007,Bibb,AL,$12.00
01009,Blount,AL,$12.00
01011,Bullock,AL,$10.60
01013,Butler,AL,$10.47
01015,Calhoun,AL,$10.37
01017,Chambers,AL,$10.43
01019,Cherokee,AL,$10.47
01021,Chilton,AL,$10.76
01023,Choctaw,AL,$10.64
01025,Clarke,AL,$10.60
01027,Clay,AL,$10.88
01029,Cleburne,AL,$10.47
01031,Coffee,AL,$11.01
01033,Colbert,AL,$10.85
01035,Conecuh,AL,$10.48
01037,Coosa,AL,$10.70
01039,Covington,AL,$10.55
01041,Crenshaw,AL,$10.47
01043,Cullman,AL,$10.63
01045,Dale,AL,$10.50
01047,Dallas,AL,$10.70
01049,De Kalb,AL,$10.54
01051,Elmore,AL,$11.18
01053,Escambia,AL,$10.60
01055,Etowah,AL,$10.63
01057,Fayette,AL,$10.60
01059,Franklin,AL,$10.60
01061,Geneva,AL,$10.75
01063,Greene,AL,$10.60
01065,Hale,AL,$11.69
01067,Henry,AL,$10.60
01069,Houston,AL,$10.75
01071,Jackson,AL,$10.24
01073,Jefferson,AL,$12.00
01075,Lamar,AL,$10.60
01077,Lauderdale,AL,$10.85
01079,Lawrence,AL,$10.31
01081,Lee,AL,$10.96
01083,Limestone,AL,$11.21
01085,Lowndes,AL,$11.18
01087,Macon,AL,$10.47
01089,Madison,AL,$11.21
01091,Marengo,AL,$10.60
01093,Marion,AL,$10.47
01095,Marshall,AL,$10.54
01097,Mobile,AL,$11.81
01099,Monroe,AL,$10.60
01101,Montgomery,AL,$11.18
01103,Morgan,AL,$10.31
01105,Perry,AL,$10.88
01107,Pickens,AL,$10.50
01109,Pike,AL,$10.53
01111,Randolph,AL,$10.04
01113,Russell,AL,$11.59
01115,St Clair,AL,$12.00
01117,Shelby,AL,$12.00
01119,Sumter,AL,$11.02
01121,Talladega,AL,$10.68
01123,Tallapoosa,AL,$10.79
01125,Tuscaloosa,AL,$11.69
01127,Walker,AL,$10.64
01129,Washington,AL,$10.62
01131,Wilcox,AL,$10.60
01133,Winston,AL,$10.47
02013,Aleutians East,AK,$12.11
02016,Aleutians West,AK,$13.89
02020,Anchorage,AK,$13.01
